Town,Postcode
Ardaun,F12
Ardaun East,F12
Ardaun West,F12
Ballard,F12
Ballydoolough,F12
Ballymaglancy,F12
Ballyweeaun,F12
Bohaun,F12
Boocaun,F12
Cahergal,F12
Cappaghnagapple,F12
Carrick East,F12
Carrick Middle,F12
Carrick West,F12
Carrowbaun,F12
Carrowhekeen,F12
Carrowkeel,F12
Carrownurlaur,F12
Cloghbrack Lower,F12
Cloghbrack Middle,F12
Cloghbrack Upper,F12
Clonbur,F12
Cloonbrone,F12
Cloonrane,F12
Coalpark,F12
Coalpark Quay,F12
Conagher,F12
Dooghta,F12
Dooghtyknockbaun,F12
Dooros,F12
Dooroy,F12
Dring,F12
Drishaghaun,F12
Fahy,F12
Farnaght,F12
Finny,F12
Glenlusk,F12
Glentraigue,F12
Gortnarup,F12
Inishdoorus,F12
Inishmacatreer,F12
Kilbeg Lower,F12
Kilbeg Upper,F12
Kinnakinelly,F12
Lugnacurragh,F12
Millpark,F12
Rosshill,F12
Rusheen East,F12
Rusheen West,F12
Shantalla,F12
Stripe North,F12
Teeranea,F12
Tonlegee,F12
Tumneenaun,F12
Ardnageeha,F31
Ashford,F31
Ballynamona,F31
Breandrim,F31
Cappacorcoge,F31
Clogher,F31
Cloonnamarve,F31
Gortnaclassagh,F31
Toberbiroge,F31
Abbeygrey,F42
Aghalateeve,F42
Aughrane,F42
Ballaghlea,F42
Ballinacor,F42
Ballyfinegan,F42
Ballygar,F42
Ballynahowna,F42
Barnacurra,F42
Beechlawn,F42
Boleythomas,F42
Cartron,F42
Cloonascarberry,F42
Clooncannon,F42
Clooncullaun,F42
Cloonlyon,F42
Cloonruff,F42
Coalpits,F42
Doranstown,F42
Drinaun,F42
Easterfield,F42
Fairfield,F42
Garreer,F42
Gortmorris,F42
Gortnadeeve,F42
Gortnalavey,F42
Gurteen,F42
Hermitage,F42
Hollygrove,F42
Islandcase,F42
Keeloges,F42
Killeroran,F42
Kilmore,F42
Knockmascahill,F42
Lahaghglass,F42
Leaha,F42
Lenanmarla,F42
Lenarevagh,F42
Lisheenteige,F42
Lisquell East,F42
Millford,F42
Moat,F42
Moneen,F42
Mount Mary,F42
Muckanagh,F42
Old Killeroran,F42
Rookwood,F42
Ruane,F42
Saint Brendan's,F42
Skehard,F42
Sonnagh,F42
Tallavnamraher,F42
Thornfield,F42
Togher,F42
Togher Cross,F42
Tully,F42
Tully East,F42
Tullyroe,F42
Ardagh,F45
Ardeevin,F45
Ardoslough,F45
Ballaghaugeag East,F45
Ballaghaugeag West,F45
Ballaghymurry,F45
Ballinapeaka,F45
Ballinastack,F45
Ballincurry,F45
Balling,F45
Ballinphuill,F45
Ballyglass Middle,F45
Ballyglass South,F45
Ballyglass West,F45
Ballyhard,F45
Ballymoe,F45
Ballynakill,F45
Ballyroe,F45
Barna,F45
Bookalagh,F45
Boyounagh,F45
Bracklagh,F45
Brierfort,F45
Bushtown,F45
Carrownderry,F45
Carrowneany,F45
Carrowroe,F45
Cartron East,F45
Cashel,F45
Castlefield,F45
Castletogher,F45
Classaghroe,F45
Cloonadarragh,F45
Clooncah,F45
Clooncon,F45
Clooncon East,F45
Clooncon West,F45
Clooncunny,F45
